date,60_40 portfolio,ml_gb portfolio,ml_rf portfolio,ml_svr portfolio,gan_nn portfolio,gan_lstm portfolio,gan_tcn portfolio
2019-10-01,98.94076776658555,138.59169703277533,159.04282137625347,163.16489103653902,176.96988022027602,173.24284448090503,174.72343018181593
2019-10-02,96.7224388568374,136.55915693098032,156.26440211261573,160.1253142698124,173.48450896043374,169.83223931078587,171.37332001705923
2019-10-03,95.74282514244236,135.5273101601585,154.57796070991793,158.0232884224716,170.60441063413944,167.0205047972639,168.61440751296644
2019-10-04,96.07276393080694,135.8035343927363,154.77503546096185,158.00856162605447,170.26488765692233,166.69296427039245,168.31258098120352
2019-10-07,96.72062955920497,136.45121669395107,155.88636886449592,159.3684308013187,172.12582799275754,168.50987924830517,170.10064239707165
2019-10-08,95.41215696624617,134.98945153956464,153.88971191385076,157.45173289145157,170.00597019742133,166.43377259533952,167.98379942675678
2019-10-09,97.19577209173593,136.81979433990338,156.35472089143533,160.2256425586446,173.35480092070537,169.70853965575174,171.20254669524465
2019-10-10,99.2349850470421,138.830678525935,159.26883237769974,163.55700055682138,177.48370038191047,173.74463279874868,175.1738871059096
2019-10-11,102.14678165990011,142.34417138060837,164.119460264537,168.85509006512825,183.9070277120337,180.02441445498502,181.4519524516829
2019-10-14,101.60620654277744,141.65979947835984,163.13262484794302,167.78787918126073,182.60298384902475,178.74974580345037,180.16802705683338
2019-10-15,103.11720649417963,143.22825492716035,165.4512444234543,170.21675017054758,185.5076374910138,181.5908891770646,183.0177174899404
2019-10-16,102.4425837781967,142.68732976178543,164.6431310351541,169.23337108589146,184.28926220952957,180.39997667708258,181.86765345559647
2019-10-17,102.82601291375407,143.520641465338,165.74881213888068,170.26671378197221,185.49575071131727,181.5800415545362,183.1137807027796
2019-10-18,102.34804560650387,142.9801540356695,165.0149961343717,169.51579859052765,184.6179848768606,180.72113183758788,182.25036967846043
2019-10-21,103.84564535507027,144.61544055927266,167.47242763148017,172.11694922558664,187.82638109255876,183.8582215329284,185.3997254835695
2019-10-22,103.05124662169264,143.90927156509676,166.44537856916847,170.94521688703134,186.37900904456433,182.44300546255474,184.01674291109092
2019-10-23,103.006810148539,144.00560037437452,166.34990746169177,170.80761225316456,186.0787953657701,182.15063432364067,183.72947415444264
2019-10-24,103.29182282479422,144.27587031638245,166.55130972635155,171.11668780546125,186.4004782259764,182.4654828277224,184.00575238175506
2019-10-25,104.38191626439286,145.58917303137426,168.3729079674136,173.09443843401203,188.81254442128565,184.82367988576308,186.36464252945706
2019-10-28,105.97433006235721,147.34144521189052,170.93325201993548,175.89126287865676,192.26073831827154,188.19467190144857,189.72816747717943
2019-10-29,105.48993069342069,146.9982865936969,170.45022724697117,175.2467226382959,191.43335679070833,187.38613061076595,188.96748079333972
2019-10-30,104.79870412995531,146.08982921678978,169.0360814085881,173.64125373386815,189.3186723141207,185.3207645521073,186.89805523179842
2019-10-31,102.03692250882692,143.05702186096286,164.62705790238869,168.60405357550871,182.9862315530345,179.13240606595218,180.7702792377955
2019-11-01,103.51967810670922,145.0323119720442,167.17221915154113,171.11001560138476,185.84512798468123,181.92930950539392,183.6592240410671
2019-11-04,105.13959251031457,146.0432103429496,168.4176128934977,171.97920301852437,186.79333719482457,182.82395077692613,184.78468225841388
2019-11-05,106.98270585336505,146.47231428072718,169.19289391661448,172.0598083682586,186.89510972144407,182.7763928599476,185.2584634710974
2019-11-06,105.78037765567228,145.72179554688034,168.22691655854996,171.40957475456503,186.19417103114526,182.14795964529876,184.33274933337793
2019-11-07,108.63433768739002,146.66032854005272,169.68887743118677,171.92039329962708,186.78727517862382,182.55857432138234,185.37716657347232
2019-11-08,108.96207286256025,146.94862198044305,170.13957066586408,172.31987473090047,187.2448008199928,182.96746006261907,185.86890236619655
2019-11-11,109.07876900879535,146.58632322571617,169.8510766679079,171.86392595392104,186.78968393836985,182.50696185236768,185.46938974409454
2019-11-12,108.36185266139044,146.33538102637772,169.60400621853003,171.84665902281327,186.7767956886011,182.46384384849978,185.36301341451062
2019-11-13,107.47185316055908,145.92725171226002,168.99712222839332,171.5192590243698,186.40747813665953,182.15712446616888,184.81649690958514
2019-11-14,106.20634573356539,145.5782606908785,168.49067180733272,171.46029680008445,186.34024679785358,182.14274148727847,184.53415867936997
2019-11-15,107.14425157441552,146.33665913164063,169.5494440196642,172.36968313417594,187.35295440034267,183.04715728834393,185.60784790881473
2019-11-18,106.55301334939095,145.89934449089532,169.08564790332358,172.03919547450653,187.0268881405993,182.7486252077746,185.17614714151983
2019-11-19,105.98836226267922,145.81808373887995,169.0694214721502,172.22742411189458,187.26767580662158,182.9963829800925,185.35708280389863
2019-11-20,104.60078846997554,145.07742609117517,168.034316449111,171.54783064795794,186.48391549454468,182.26221291969765,184.42936156820878
2019-11-21,105.31588527986293,144.99473591318954,167.91833232973374,171.0966129428524,185.9615843777217,181.71189870789513,184.04341313056352
2019-11-22,105.50051593988911,145.29946086846383,168.32114902586585,171.5151207672999,186.42462151257624,182.14504439236578,184.51446198012354
2019-11-25,105.73377421326025,146.54375522253213,170.204755244421,173.64635782142318,188.84037466457121,184.38851819210072,186.97338925498482
2019-11-26,105.29800174742843,146.56819437762928,170.22571360896328,173.86966496891466,189.0847815424036,184.62792776743566,187.12684536672447
2019-11-27,106.21050267616293,147.19732033394337,171.20305850721292,174.64669401687095,189.98060122094327,185.42948747511065,188.1371673073648
2019-11-28,106.21050267616293,147.19732033394337,171.20305850721292,174.64669401687095,189.98060122094327,185.42948747511065,188.1371673073648
2019-11-29,106.16998127019981,146.68411608104955,170.5469161085396,173.86726060997623,189.16646528044132,184.73928965123355,187.2925532131687
2019-12-02,107.05826712753053,145.92051351169593,169.37516860050866,172.14880798802508,187.24647429504103,182.91859053317344,185.57317345827548
2019-12-03,103.66969126371502,143.65986390471465,166.08880910199144,169.73561358392618,182.0161913965209,177.65467829955588,180.59268413474555
2019-12-04,105.75253503487305,145.48236189765478,168.56952463318063,171.70025507060345,185.46307387898082,180.99902557139612,183.8682391252637
2019-12-05,106.22205787651184,146.01660594977344,169.22924238126586,172.2704935257983,186.28877440173204,181.85079799852457,184.68089714771432
